Brand,OS_Platform,Resolution_Type,Inches,Launch,Price,Review_Count,Rating
Samsung,,Ultra HD (4K),43,2025,"₹29,490","3,730",4.3
Foxsky,Google TV,HD Ready,32,2024,"₹7,499","1,062",4.3
Samsung,,Ultra HD (4K),55,2025,"₹49,990",66,4.4
Samsung,,HD Ready,32,2025,"₹11,990","6,269",4.3
Foxsky,Android,HD Ready,32,2023,"₹6,999","1,867",4.1
Samsung,,Ultra HD (4K),43,2025,"₹28,990","1,261",4.3
LG,WebOS,Ultra HD (4K),43,2025,"₹29,490","1,690",4.4
XIAOMI,FireTv OS,Ultra HD (4K),43,2025,"₹27,999",141,4
Samsung,,Ultra HD (4K),55,2025,"₹41,990","3,730",4.3
TCL,Google TV,Ultra HD (4K),43,2025,"₹26,990",22,4.1
XIAOMI,FireTv OS,Ultra HD (4K),55,2025,"₹37,999",141,4
Thomson,Google TV,Ultra HD (4K),43,2023,"₹19,999","5,401",4.4
LG,WebOS,Ultra HD (4K),50,2025,"₹36,990","1,690",4.4
LG,WebOS,Ultra HD (4K),55,2025,"₹43,990","1,690",4.4
LG,WebOS,Ultra HD (4K),43,2025,"₹31,990","1,690",4.4
XIAOMI,Google TV,Ultra HD (4K),55,2024,"₹36,999","5,753",4.3
Foxsky,,HD Ready,32,2023,"₹6,699",572,4
XIAOMI,Google TV,Ultra HD (4K),55,2025,"₹42,999",141,4
LG,WebOS,Ultra HD (4K),55,2025,"₹40,990","1,690",4.4
XIAOMI,FireTv OS,Ultra HD (4K),43,2025,"₹24,999","5,753",4.3
Thomson,,Ultra HD (4K),43,2025,"₹17,999",157,4.2
XIAOMI,Google TV,HD Ready,32,2025,"₹13,999",141,4
TCL,Google TV,Ultra HD (4K),55,2025,"₹39,999",22,4.1
TCL,Google TV,Ultra HD (4K),65,2025,"₹67,990",3,4.2
MOTOROLA,Google TV,Ultra HD (4K),43,2025,"₹21,999",222,4.2
TCL,Google TV,Full HD,32,2025,"₹13,490",84,4
Foxsky,Google TV,HD Ready,32,2024,"₹7,499","1,062",4.3
Foxsky,Android,HD Ready,32,2023,"₹6,999","1,867",4.1
XIAOMI,Google TV,Full HD,43,2024,"₹21,499","6,403",4.3
LG,WebOS,HD Ready,32,2025,"₹13,990","1,828",4.3
XIAOMI,FireTv OS,Ultra HD (4K),55,2025,"₹37,999",141,4
XIAOMI,Google TV,Ultra HD (4K),55,2025,"₹42,999",141,4
XIAOMI,Google TV,Ultra HD (4K),50,2024,"₹27,999","5,753",4.3
XIAOMI,Google TV,Full HD,43,2025,"₹21,999","6,403",4.3
LG,WebOS,Ultra HD (4K),65,2025,"₹62,990","1,690",4.4
Acer,Google TV,Ultra HD (4K),43,2025,"₹22,999",190,4
XIAOMI,Google TV,HD Ready,32,2025,"₹13,999",141,4
XIAOMI,FireTv OS,Ultra HD (4K),43,2025,"₹24,999","5,753",4.3
XIAOMI,Google TV,Ultra HD (4K),43,2024,"₹23,999","5,753",4.3
realme,Google TV,HD Ready,32,2025,"₹9,499",580,4.1
Panasonic,Google TV,HD Ready,32,2023,"₹14,990",543,4.2
Samsung,,Ultra HD (4K),50,2025,"₹40,990","3,730",4.3
Samsung,,Ultra HD (4K),55,2024,"₹41,990","3,730",4.3
Acer,Google TV,Ultra HD (4K),43,2024,"₹20,999",903,4
Acer,Google TV,Ultra HD (4K),50,2025,"₹28,999",190,4
Samsung,,Ultra HD (4K),50,2024,"₹41,189","3,730",4.3
Samsung,,Ultra HD (4K),50,2025,"₹39,990","1,261",4.3
Samsung,,Ultra HD (4K),43,2025,"₹28,990","1,261",4.3
iFFALCON,Google TV,Ultra HD (4K),55,2025,"₹25,999",133,4.2
SONY,Google TV,Ultra HD (4K),43,2024,"₹38,490","1,592",4.7
Foxsky,Google TV,HD Ready,32,2024,"₹7,499","1,062",4.3
Foxsky,Android,HD Ready,32,2023,"₹6,999","1,867",4.1
TCL,Google TV,Ultra HD (4K),55,2025,"₹47,990",3,4.2
TCL,Google TV,Ultra HD (4K),75,2024,"₹69,990",435,4.2
XIAOMI,Google TV,Ultra HD (4K),43,2025,"₹26,999","5,753",4.3
XIAOMI,Google TV,Ultra HD (4K),55,2025,"₹42,999",141,4
XIAOMI,FireTv OS,Ultra HD (4K),55,2025,"₹37,999",141,4
XIAOMI,Google TV,HD Ready,32,2025,"₹13,999",141,4
XIAOMI,Google TV,Ultra HD (4K),43,2025,"₹30,999",141,4
Acer,Google TV,Full HD,43,2024,"₹18,499",903,4
XIAOMI,FireTv OS,Ultra HD (4K),43,2025,"₹24,999","5,753",4.3
Panasonic,Google TV,HD Ready,32,2023,"₹14,990",543,4.2
Samsung,,Full HD,43,2025,"₹23,990",6,4.2
Acer,Google TV,Full HD,40,2024,"₹16,499",903,4
Acer,Google TV,Ultra HD (4K),50,2024,"₹26,999",903,4
Acer,Google TV,Ultra HD (4K),55,2024,"₹29,999",903,4
Samsung,,Ultra HD (4K),50,2025,"₹40,990","3,730",4.3
Samsung,,Ultra HD (4K),50,2025,"₹39,990","1,261",4.3
Samsung,,Ultra HD (4K),65,2024,"₹62,990","3,730",4.3
Samsung,,Ultra HD (4K),43,2025,"₹29,490","3,730",4.3
Samsung,,Ultra HD (4K),43,2025,"₹28,990","1,261",4.3
Panasonic,Google TV,Ultra HD (4K),43,2023,"₹27,990","1,214",4.3
Blaupunkt,Google TV,Ultra HD (4K),43,2023,"₹20,499","2,755",4.5
MOTOROLA,Google TV,Ultra HD (4K),65,2025,"₹42,999",222,4.2
XIAOMI,Google TV,Ultra HD (4K),65,2024,"₹63,990",141,4
iFFALCON,Google TV,Ultra HD (4K),65,2025,"₹41,999",133,4.2
Foxsky,Google TV,HD Ready,32,2024,"₹7,499","1,062",4.3
Foxsky,Android,HD Ready,32,2023,"₹6,999","1,867",4.1
Acer,Google TV,Ultra HD (4K),43,2024,"₹26,999",211,4.1
TCL,Google TV,Ultra HD (4K),43,2024,"₹26,990","1,193",4.2
Samsung,,Ultra HD (4K),43,2025,"₹29,490","3,730",4.3
Samsung,,Ultra HD (4K),43,2025,"₹28,990","1,261",4.3
Acer,Google TV,HD Ready,32,2024,"₹10,999",903,4
Acer,Google TV,Ultra HD (4K),55,2024,"₹39,999",211,4.1
Blaupunkt,Google TV,Ultra HD (4K),65,2022,"₹41,999","2,755",4.5
Thomson,Google TV,Ultra HD (4K),50,2025,"₹24,999","5,401",4.4
XIAOMI,FireTv OS,Ultra HD (4K),55,2025,"₹37,999",141,4
Thomson,Google TV,Ultra HD (4K),43,2023,"₹19,999","5,401",4.4
Infinix,Linux,Full HD,40,2025,"₹13,999",30,3.9
XIAOMI,Google TV,HD Ready,32,2023,"₹13,480","6,403",4.3
Foxsky,,HD Ready,32,2023,"₹6,699",572,4
XIAOMI,Google TV,Ultra HD (4K),55,2025,"₹42,999",141,4
LG,WebOS,Ultra HD (4K),55,2023,"₹40,240","1,690",4.4
realme,Google TV,HD Ready,,2025,"₹9,499",580,4.1
Hisense,Google TV,Ultra HD (4K),55,2024,"₹30,999","1,299",4.3
Samsung,,Ultra HD (4K),43,2023,"₹30,490","3,730",4.3
Foxsky,Android,HD Ready,32,2023,"₹6,999","1,867",4.1
Foxsky,Google TV,HD Ready,32,2024,"₹7,499","1,062",4.3
Blaupunkt,Google TV,Ultra HD (4K),50,2025,"₹27,999","2,755",4.5
SONY,Google TV,Ultra HD (4K),65,2023,"₹69,999","4,529",4.6
Samsung,,Ultra HD (4K),43,2025,"₹29,490","3,730",4.3
Samsung,,Ultra HD (4K),43,2025,"₹28,990","1,261",4.3
Blaupunkt,Google TV,Ultra HD (4K),55,2022,"₹30,499","2,755",4.5
