Brand,OS_Platform,Resolution_Type,Inches,Launch_Year,Price,Review_Count,Rating
Foxsky,Google TV,HD Ready,32.0,2024,7499,1045,4.3
Foxsky,Android,HD Ready,32.0,2023,6999,1855,4.1
Samsung,Google TV,HD Ready,32.0,2025,11990,6269,4.3
LG,WebOS,Ultra HD (4K),50.0,2025,36990,1690,4.4
XIAOMI,FireTv OS,HD Ready,32.0,2025,11999,6401,4.3
Hisense,Google TV,Full HD,43.0,2024,19499,483,4.2
Coocaa,Coolita,HD Ready,32.0,2024,7999,3280,4.2
PHILIPS,Google TV,HD Ready,32.0,2025,9999,77,4.1
realme,Google TV,HD Ready,50.0,2025,9999,572,4.1
PHILIPS,Google TV,Full HD,43.0,2025,17999,77,4.1
Samsung,Google TV,Ultra HD (4K),55.0,2025,41990,3724,4.3
XIAOMI,FireTv OS,Ultra HD (4K),55.0,2025,37999,141,4.0
Foxsky,Android,HD Ready,24.0,2025,5499,18,4.1
iFFALCON,Google TV,Ultra HD (4K),43.0,2025,18499,126,4.2
XIAOMI,Google TV,Ultra HD (4K),50.0,2023,26999,5753,4.3
iFFALCON,Google TV,HD Ready,32.0,2025,8999,110,4.2
Foxsky,Google TV,Ultra HD (4K),43.0,2024,16999,1045,4.3
XIAOMI,Google TV,Ultra HD (4K),55.0,2025,42999,141,4.0
Infinix,Linux,Full HD,40.0,2025,13999,30,3.9
MarQ,Google TV,HD Ready,24.0,2024,4989,648,4.1
LG,WebOS,Ultra HD (4K),55.0,2025,43990,1690,4.4
LG,WebOS,Ultra HD (4K),50.0,2025,37990,1690,4.4
Coocaa,Coolita,Full HD,43.0,2025,13499,0,4.2
LG,WebOS,Ultra HD (4K),43.0,2025,31990,1690,4.4
Infinix,Linux,Full HD,40.0,2025,13999,30,3.9
XIAOMI,Google TV,Ultra HD (4K),50.0,2023,26999,5753,4.3
Foxsky,Google TV,HD Ready,32.0,2024,7499,1045,4.3
Foxsky,Android,HD Ready,32.0,2023,6999,1855,4.1
Acer,Google TV,HD Ready,32.0,2024,10999,903,4.0
iFFALCON,Google TV,HD Ready,32.0,2025,8999,110,4.2
Hisense,Google TV,Full HD,43.0,2024,19499,483,4.2
Thomson,Google TV,Ultra HD (4K),50.0,2025,24999,5397,4.4
Acer,Google TV,Ultra HD (4K),43.0,2024,20999,903,4.0
Acer,Google TV,Full HD,43.0,2024,18499,903,4.0
InnoQ,Google TV,HD Ready,24.0,2024,4985,892,4.0
MarQ,Google TV,HD Ready,24.0,2024,4989,648,4.1
Samsung,Google TV,Ultra HD (4K),43.0,2025,29490,3724,4.3
Samsung,Google TV,Ultra HD (4K),43.0,2025,28990,1261,4.3
Acer,Google TV,Ultra HD (4K),50.0,2024,26999,903,4.0
Coocaa,Coolita,Full HD,43.0,2024,12999,3280,4.2
XIAOMI,FireTv OS,HD Ready,32.0,2025,11999,6401,4.3
XIAOMI,Google TV,HD Ready,32.0,2025,13999,141,4.0
BESTON,Android,HD Ready,32.0,2025,6999,48,4.1
Foxsky,Google TV,HD Ready,32.0,2023,6699,570,4.0
Acer,Google TV,Ultra HD (4K),43.0,2025,22999,189,4.0
XIAOMI,FireTv OS,Ultra HD (4K),55.0,2025,37999,141,4.0
XIAOMI,FireTv OS,Ultra HD (4K),43.0,2025,24999,5753,4.3
Panasonic,Google TV,HD Ready,32.0,2023,14990,543,4.2
Samsung,Google TV,Ultra HD (4K),43.0,2025,29490,3724,4.3
realme,Google TV,Ultra HD (4K),43.0,2025,18999,77,4.2
Foxsky,Google TV,HD Ready,32.0,2024,7499,1045,4.3
Foxsky,Android,HD Ready,32.0,2023,6999,1855,4.1
Thomson,Google TV,Ultra HD (4K),55.0,2025,30999,5397,4.4
Thomson,Linux,HD Ready,32.0,2025,8499,303,4.2
MOTOROLA,Google TV,Full HD,43.0,2025,18499,30,4.1
Acer,Google TV,Ultra HD (4K),43.0,2024,19999,173,4.0
XIAOMI,FireTv OS,HD Ready,32.0,2025,11999,6401,4.3
Hisense,Google TV,Full HD,43.0,2024,19499,483,4.2
XIAOMI,FireTv OS,Ultra HD (4K),43.0,2025,24999,5753,4.3
iFFALCON,Google TV,Ultra HD (4K),55.0,2024,25999,8497,4.2
Samsung,Google TV,Ultra HD (4K),55.0,2025,41990,3724,4.3
XIAOMI,FireTv OS,Ultra HD (4K),55.0,2025,37999,141,4.0
TOSHIBA,Google TV,Ultra HD (4K),100.0,2024,254999,216,4.2
Hisense,Google TV,Ultra HD (4K),55.0,2024,30999,1299,4.3
